BAIRRO,VALOR,AREA,QUARTOS
LAGO SUL,4500000.0,770.0,6.0
SOBRADINHO,955000.0,176.0,3.0
ASA NORTE,1700000.0,127.0,3.0
SOBRADINHO,2299000.0,450.0,4.0
PARK SUL,1394977.0,86.0,2.0
VICENTE PIRES,370000.0,66.0,2.0
LAGO SUL,1465000.0,240.0,3.0
ASA SUL,2249000.0,154.0,3.0
JARDIM BOTANICO,1260000.0,212.0,3.0
NOROESTE,1140000.0,69.0,2.0
LAGO SUL,4800000.0,429.0,5.0
PARK WAY,3560000.0,702.0,4.0
SOBRADINHO,1390000.0,225.0,4.0
SUDOESTE,2195000.0,159.0,4.0
SAMAMBAIA,510000.0,78.0,3.0
SOBRADINHO,2890000.0,390.0,4.0
LAGO NORTE,2290000.0,380.0,3.0
SOBRADINHO,1690000.0,550.0,4.0
SOBRADINHO,995000.0,217.0,4.0
NOROESTE,2099000.0,118.0,3.0
GUARA,18900000.0,4943.0,17.0
LAGO NORTE,5300000.0,500.0,5.0
AGUAS CLARAS,1180000.0,123.0,3.0
LAGO SUL,26000000.0,1312.0,6.0
LAGO NORTE,3950000.0,703.0,5.0
JARDIM BOTANICO,2100000.0,390.0,4.0
LAGO NORTE,2150000.0,350.0,3.0
PARK WAY,3850000.0,500.0,4.0
JARDIM BOTANICO,1790000.0,284.0,4.0
VICENTE PIRES,1090000.0,220.0,3.0
ASA SUL,2499999.0,115.0,2.0
VICENTE PIRES,1240000.0,411.0,4.0
ARNIQUEIRA,1497000.0,300.0,4.0
SAMAMBAIA,299000.0,47.0,2.0
ASA NORTE,1350000.0,97.0,3.0
JARDIM BOTANICO,1200000.0,681.0,4.0
AGUAS CLARAS,1300000.0,187.0,3.0
JARDIM BOTANICO,7500000.0,640.0,5.0
AGUAS CLARAS,899000.0,106.0,4.0
LAGO SUL,5750000.0,733.0,6.0
SOBRADINHO,1650000.0,201.0,3.0
JARDIM BOTANICO,1650000.0,261.0,4.0
AGUAS CLARAS,2000000.0,157.0,4.0
JARDINS MANGUEIRAL,575000.0,68.0,3.0
SOBRADINHO,1750000.0,427.0,5.0
PARK SUL,1270000.0,70.0,2.0
PARK WAY,6380000.0,1200.0,5.0
NOROESTE,5350000.0,406.0,4.0
VICENTE PIRES,1380000.0,400.0,3.0
PARK WAY,2990000.0,554.0,5.0
SOBRADINHO,1590000.0,246.0,3.0
SOBRADINHO,1079000.0,201.0,4.0
PARK WAY,1990000.0,400.0,5.0
PARK SUL,460000.0,26.0,1.0
SOBRADINHO,1350000.0,201.0,3.0
JARDIM BOTANICO,6300000.0,600.0,8.0
PARK WAY,3100000.0,420.0,4.0
SOBRADINHO,1300000.0,402.0,4.0
JARDIM BOTANICO,2800000.0,422.0,4.0
SOBRADINHO,1049000.0,258.0,5.0
ASA NORTE,1490000.0,100.0,3.0
LAGO NORTE,1970000.0,317.0,5.0
VICENTE PIRES,847000.0,200.0,3.0
AGUAS CLARAS,1650000.0,162.0,4.0
AGUAS CLARAS,540000.0,60.0,2.0
NOROESTE,2880000.0,202.0,2.0
LAGO NORTE,9800000.0,977.0,6.0
TAQUARI,3499000.0,480.0,4.0
SOBRADINHO,900000.0,246.0,3.0
PARK SUL,1361147.0,85.0,2.0
JARDIM BOTANICO,2200000.0,372.0,4.0
ASA SUL,1750000.0,106.0,3.0
SOBRADINHO,1099000.0,200.0,4.0
AGUAS CLARAS,639999.0,66.0,2.0
SOBRADINHO,1950000.0,500.0,4.0
SOBRADINHO,580000.0,200.0,3.0
AGUAS CLARAS,990000.0,139.0,4.0
JARDIM BOTANICO,1480000.0,300.0,3.0
NOROESTE,1299000.0,77.0,2.0
LAGO SUL,36000000.0,1551.0,7.0
JARDIM BOTANICO,1730000.0,282.0,4.0
