BAIRRO,VALOR,AREA,QUARTOS,VALOR_M2,LOG_VALOR_M2
AGUAS CLARAS,1350000.0,145.0,4.0,9310.344827586207,9.138988809633682
JARDIM BOTANICO,1350000.0,190.0,3.0,7105.263157894737,8.868731809091818
TAGUATINGA,540000.0,70.0,3.0,7714.285714285715,8.950958797719533
SUDOESTE,1295000.0,76.0,2.0,17039.473684210527,9.743346598366102
AGUAS CLARAS,1480000.0,140.0,3.0,10571.42857142857,9.2660048132518
GUARA,1200000.0,113.0,3.0,10619.469026548673,9.270538458279153
ASA NORTE,1680000.0,125.0,3.0,13440.0,9.506065016071148
ASA SUL,2000000.0,454.0,4.0,4405.286343612334,8.39078751472227
ASA NORTE,1930000.0,139.0,3.0,13884.892086330936,9.538628645882397
AGUAS CLARAS,920000.0,114.0,3.0,8070.175438596491,8.996054405997619
AGUAS CLARAS,575000.0,68.0,2.0,8455.882352941177,9.04273586848068
ASA NORTE,2099000.0,167.0,4.0,12568.862275449103,9.439057344917197
SUDOESTE,1130000.0,77.0,3.0,14675.324675324675,9.593990908106226
